S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1,12-03-2020,India,74,71,3,0
2,13-03-2020,India,75,71,3,1
3,14-03-2020,India,84,72,10,2
4,15-03-2020,India,107,95,10,2
5,16-03-2020,India,114,99,13,2
6,17-03-2020,India,137,120,14,3
7,18-03-2020,India,146,129,14,3
8,19-03-2020,India,166,148,15,3
9,20-03-2020,India,195,171,20,4
10,21-03-2020,India,258,231,23,4
11,22-03-2020,India,360,329,24,7
12,23-03-2020,India,433,402,24,7
13,24-03-2020,India,492,446,37,9
14,25-03-2020,India,519,469,40,10
15,26-03-2020,India,649,593,43,13
16,27-03-2020,India,724,640,67,17
17,28-03-2020,India,909,810,80,19
18,29-03-2020,India,979,867,87,25
19,30-03-2020,India,1071,942,100,29
20,31-03-2020,India,1397,1238,124,35
21,01-04-2020,India,1637,1466,133,38
22,02-04-2020,India,1965,1764,151,50
23,03-04-2020,India,2301,2088,157,56
24,04-04-2020,India,2902,2650,184,68
25,05-04-2020,India,3374,3030,267,77
26,06-04-2020,India,4067,3666,292,109
27,07-04-2020,India,4421,3981,326,114
28,08-04-2020,India,5194,4643,402,149
29,09-04-2020,India,5734,5095,473,166
30,10-04-2020,India,6412,5709,504,199
31,11-04-2020,India,7447,6565,643,239
32,12-04-2020,India,8356,7367,716,273
33,13-04-2020,India,9152,7987,857,308
34,14-04-2020,India,10363,8988,1036,339
35,15-04-2020,India,11439,9756,1306,377
36,16-04-2020,India,12380,10477,1489,414
37,17-04-2020,India,13387,11201,1749,437
38,18-04-2020,India,14378,11906,1992,480
39,19-04-2020,India,15712,12974,2231,507
40,20-04-2020,India,17265,14175,2547,543
41,21-04-2020,India,18601,14759,3252,590
42,22-04-2020,India,19984,15474,3870,640
43,23-04-2020,India,21393,16454,4258,681
44,24-04-2020,India,23077,17610,4749,718
45,25-04-2020,India,24506,18668,5063,775
46,26-04-2020,India,26496,19868,5804,824
47,27-04-2020,India,27892,20835,6185,872
48,28-04-2020,India,29435,21632,6869,934
49,29-04-2020,India,31332,22629,7696,1007
50,30-04-2020,India,33050,23651,8325,1074
51,01-05-2020,India,35043,25007,8889,1147
52,02-05-2020,India,37336,26167,9951,1218
53,03-05-2020,India,39980,28046,10633,1301
54,04-05-2020,India,42533,29453,11707,1373
55,05-05-2020,India,46433,32138,12727,1568
56,06-05-2020,India,49390,33513,14183,1694
57,07-05-2020,India,52951,35901,15267,1783
58,08-05-2020,India,56341,37915,16540,1886
59,09-05-2020,India,59662,39834,17847,1981
60,10-05-2020,India,62939,41472,19358,2109
61,11-05-2020,India,67152,44029,20917,2206
62,12-05-2020,India,70756,46008,22455,2293
63,13-05-2020,India,74281,47480,24386,2415
64,14-05-2020,India,78003,49219,26235,2549
65,15-05-2020,India,81970,51401,27920,2649
66,16-05-2020,India,85940,53035,30153,2752
67,17-05-2020,India,90927,53946,34109,2872
68,18-05-2020,India,96169,56316,36824,3029
69,19-05-2020,India,101139,58802,39174,3163
70,20-05-2020,India,106750,61149,42298,3303
71,21-05-2020,India,112359,63624,45300,3435
72,22-05-2020,India,118447,66330,48534,3583
73,23-05-2020,India,125101,69597,51784,3720
74,24-05-2020,India,131868,73560,54441,3867
75,25-05-2020,India,138845,77103,57721,4021
76,26-05-2020,India,145380,80722,60491,4167
77,27-05-2020,India,151767,83004,64426,4337
78,28-05-2020,India,158333,86110,67692,4531
79,29-05-2020,India,165799,89987,71106,4706
80,30-05-2020,India,173763,86422,82370,4971
81,31-05-2020,India,182143,89995,86984,5164
82,01-06-2020,India,190535,93322,91819,5394
83,02-06-2020,India,198706,97581,95527,5598
84,03-06-2020,India,207615,101497,100303,5815
85,04-06-2020,India,216919,106737,104107,6075
86,05-06-2020,India,226770,110960,109462,6348
87,06-06-2020,India,236657,115942,114073,6642
88,07-06-2020,India,246628,120406,119293,6929
89,08-06-2020,India,256611,125381,124095,7135
90,09-06-2020,India,266598,129917,129215,7466
91,10-06-2020,India,276583,133632,135206,7745
92,11-06-2020,India,286579,137448,141029,8102
93,12-06-2020,India,297535,141842,147195,8498
94,13-06-2020,India,308993,145779,154330,8884
95,14-06-2020,India,320922,149348,162379,9195
96,15-06-2020,India,332424,153106,169798,9520
97,16-06-2020,India,343091,153178,180013,9900
98,17-06-2020,India,354065,155227,186935,11903
99,18-06-2020,India,366946,160384,194325,12237
100,19-06-2020,India,380532,163248,204711,12573
101,20-06-2020,India,395048,168269,213831,12948
102,21-06-2020,India,410461,169451,227756,13254
103,22-06-2020,India,425282,174387,237196,13699
104,23-06-2020,India,440215,178014,248190,14011
105,24-06-2020,India,456183,183022,258685,14476
106,25-06-2020,India,473105,186514,271697,14894
107,26-06-2020,India,490401,189463,285637,15301
108,27-06-2020,India,508953,197387,295881,15685
109,28-06-2020,India,528859,203051,309713,16095
110,29-06-2020,India,548318,210120,321723,16475
111,30-06-2020,India,566840,215125,334822,16893
112,01-07-2020,India,585493,220114,347979,17400
113,02-07-2020,India,604641,226947,359860,17834
114,03-07-2020,India,625544,227439,379892,18213
115,04-07-2020,India,648315,235433,394227,18655
116,05-07-2020,India,673165,244814,409083,19268
117,06-07-2020,India,697413,253287,424433,19693
118,07-07-2020,India,719665,259557,439948,20160
119,08-07-2020,India,742417,264944,456831,20642
120,09-07-2020,India,767296,269789,476378,21129
121,10-07-2020,India,793802,276685,495513,21604
122,11-07-2020,India,820916,283407,515386,22123
123,12-07-2020,India,849553,292258,534621,22674
124,13-07-2020,India,878254,301609,553471,23174
125,14-07-2020,India,906752,311565,571460,23727
126,15-07-2020,India,936181,319840,592032,24309
127,16-07-2020,India,968876,331146,612815,24915
128,17-07-2020,India,1003832,342473,635757,25602
129,18-07-2020,India,1038716,358692,653751,26273
130,19-07-2020,India,1077618,373379,677423,26816
131,20-07-2020,India,1118043,390459,700087,27497
132,21-07-2020,India,1155191,402529,724578,28084
133,22-07-2020,India,1192915,411133,753050,28732
134,23-07-2020,India,1238635,426167,782607,29861
135,24-07-2020,India,1287945,440135,817209,30601
136,25-07-2020,India,1336861,456071,849432,31358
137,26-07-2020,India,1385522,467882,885577,32063
138,27-07-2020,India,1435453,485114,917568,32771
139,28-07-2020,India,1483156,496988,952743,33425
140,29-07-2020,India,1531669,509447,988029,34193
141,30-07-2020,India,1583792,528242,1020582,34968
142,31-07-2020,India,1638870,545318,1057805,35747
143,01-08-2020,India,1695988,565103,1094374,36511
144,02-08-2020,India,1750723,567730,1145629,37364
145,03-08-2020,India,1803695,579357,1186203,38135
146,04-08-2020,India,1855745,586298,1230509,38938
147,05-08-2020,India,1908254,586244,1282215,39795
148,06-08-2020,India,1964536,595501,1328336,40699
149,07-08-2020,India,2027074,607384,1378105,41585
150,08-08-2020,India,2088611,619088,1427005,42518
151,09-08-2020,India,2153010,628747,1480884,43379
152,10-08-2020,India,2215074,634945,1535743,44386
153,11-08-2020,India,2268675,639929,1583489,45257
154,12-08-2020,India,2329638,643948,1639599,46091
155,13-08-2020,India,2396637,653622,1695982,47033
156,14-08-2020,India,2461190,661595,1751555,48040
157,15-08-2020,India,2526192,668220,1808936,49036
158,16-08-2020,India,2589682,677444,1862258,49980
159,17-08-2020,India,2647663,676900,1919842,50921
160,18-08-2020,India,2702742,673166,1977779,51797
161,19-08-2020,India,2767273,676514,2037870,52889
162,20-08-2020,India,2836925,686395,2096664,53866
163,21-08-2020,India,2905823,692028,2158946,54849
164,22-08-2020,India,2975701,697330,2222577,55794
165,23-08-2020,India,3044940,707668,2280566,56706
166,24-08-2020,India,3106348,710771,2338035,57542
167,25-08-2020,India,3167323,704348,2404585,58390
168,26-08-2020,India,3234474,707267,2467758,59449
169,27-08-2020,India,3310234,725991,2523771,60472
170,28-08-2020,India,3387500,742023,2583948,61529
171,29-08-2020,India,3463972,752424,2648998,62550
172,30-08-2020,India,3542733,765302,2713933,63498
173,31-08-2020,India,3621245,781975,2774801,64469
174,01-09-2020,India,3691166,785996,2839882,65288
175,02-09-2020,India,3769523,801282,2901908,66333
176,03-09-2020,India,3853406,815538,2970492,67376
177,04-09-2020,India,3936747,831124,3037151,68472
178,05-09-2020,India,4023179,846395,3107223,69561
179,06-09-2020,India,4113811,862320,3180865,70626
180,07-09-2020,India,4204613,882542,3250429,71642
181,08-09-2020,India,4280422,883697,3323950,72775
182,09-09-2020,India,4370128,897394,3398844,73890
183,10-09-2020,India,4465863,919018,3471783,75062
184,11-09-2020,India,4562414,943480,3542663,76271
185,12-09-2020,India,4659984,958316,3624196,77472
186,13-09-2020,India,4754356,973175,3702595,78586
187,14-09-2020,India,4846427,986598,3780107,79722
188,15-09-2020,India,4930236,990061,3859399,80776
189,16-09-2020,India,5020359,995933,3942360,82066
190,17-09-2020,India,5118253,1009976,4025079,83198
191,18-09-2020,India,5214677,1017754,4112551,84372
192,19-09-2020,India,5308014,1013964,4208431,85619
193,20-09-2020,India,5400619,1010824,4303043,86752
194,21-09-2020,India,5487580,1003299,4396399,87882
195,22-09-2020,India,5562663,975861,4497867,88935
196,23-09-2020,India,5646010,968377,4587613,90020
197,24-09-2020,India,5732518,966382,4674987,91149
198,25-09-2020,India,5818570,970116,4756164,92290
199,26-09-2020,India,5903932,960969,4849584,93379
200,27-09-2020,India,5992532,956402,4941627,94503
201,28-09-2020,India,6074702,962640,5016520,95542
202,29-09-2020,India,6145291,947576,5101397,96318
203,30-09-2020,India,6225763,940441,5187825,97497
204,01-10-2020,India,6312584,940705,5273201,98678
205,02-10-2020,India,6394068,942217,5352078,99773
206,03-10-2020,India,6473544,944996,5427706,100842
207,04-10-2020,India,6549373,937625,5509966,101782
208,05-10-2020,India,6623815,934427,5586703,102685
209,06-10-2020,India,6685082,919023,5662490,103569
210,07-10-2020,India,6757131,907883,5744693,104555
211,08-10-2020,India,6835655,902425,5827704,105526
212,09-10-2020,India,6906151,893592,5906069,106490
213,10-10-2020,India,6979423,883185,5988822,107416
214,11-10-2020,India,7053806,867496,6077976,108334
215,12-10-2020,India,7120538,861853,6149535,109150
216,13-10-2020,India,7175880,838729,6227295,109856
217,14-10-2020,India,7239389,826876,6301927,110586
218,15-10-2020,India,7307097,812390,6383441,111266
219,16-10-2020,India,7370468,804528,6453779,112161
220,17-10-2020,India,7432680,795087,6524595,112998
221,18-10-2020,India,7494551,783311,6597209,114031
222,19-10-2020,India,7550273,772055,6663608,114610
223,20-10-2020,India,7597063,748538,6733328,115197
224,21-10-2020,India,7651107,740090,6795103,115914
225,22-10-2020,India,7706946,715812,6874518,116616
226,23-10-2020,India,7761312,695509,6948497,117306
227,24-10-2020,India,7814682,680680,7016046,117956
228,25-10-2020,India,7864811,668154,7078123,118534
229,26-10-2020,India,7909959,653717,7137228,119014
230,27-10-2020,India,7946429,625857,7201070,119502
231,28-10-2020,India,7990322,610803,7259509,120010
232,29-10-2020,India,8040203,603687,7315989,120527
233,30-10-2020,India,8088851,594386,7373375,121090
234,31-10-2020,India,8137119,582649,7432829,121641
235,01-11-2020,India,8184082,570458,7491513,122111
236,02-11-2020,India,8229313,561908,7544798,122607
237,03-11-2020,India,8267623,541405,7603121,123097
238,04-11-2020,India,8313876,533787,7656478,123611
239,05-11-2020,India,8364086,527962,7711809,124315
240,06-11-2020,India,8411724,520773,7765966,124985
241,07-11-2020,India,8462080,516632,7819886,125562
242,08-11-2020,India,8507754,512665,7868968,126121
243,09-11-2020,India,8553657,509673,7917373,126611
244,10-11-2020,India,8591730,505265,7959406,127059
245,11-11-2020,India,8636011,494657,8013783,127571
246,12-11-2020,India,8683916,489294,8066501,128121
247,13-11-2020,India,8728795,484547,8115580,128668
248,14-11-2020,India,8773479,480719,8163572,129188
249,15-11-2020,India,8814579,479216,8205728,129635
250,16-11-2020,India,8845127,465478,8249579,130070
251,17-11-2020,India,8874290,453401,8290370,130519
252,18-11-2020,India,8912907,446805,8335109,130993
253,19-11-2020,India,8958483,443303,8383602,131578
254,20-11-2020,India,9004365,443794,8428409,132162
255,21-11-2020,India,9050597,439747,8478124,132726
256,22-11-2020,India,9095806,440962,8521617,133227
257,23-11-2020,India,9139865,443486,8562641,133738
258,24-11-2020,India,9177840,438667,8604955,134218
259,25-11-2020,India,9222216,444746,8642771,134699
260,26-11-2020,India,9266705,452344,8679138,135223
261,27-11-2020,India,9309787,455555,8718517,135715
262,28-11-2020,India,9351109,454940,8759969,136200
263,29-11-2020,India,9392919,453956,8802267,136696
264,30-11-2020,India,9431691,446952,8847600,137139
265,01-12-2020,India,9462809,435603,8889585,137621
266,02-12-2020,India,9499413,428644,8932647,138122
267,03-12-2020,India,9534964,422943,8973373,138648
268,04-12-2020,India,9571559,416082,9016289,139188
269,05-12-2020,India,9608211,409689,9058822,139700
270,06-12-2020,India,9644222,403248,9100792,140182
271,07-12-2020,India,9677203,396729,9139901,140573
272,08-12-2020,India,9703770,383866,9178946,140958
273,09-12-2020,India,9735850,378909,9215581,141360
274,10-12-2020,India,9767371,372293,9253306,141772
275,11-12-2020,India,9796769,363749,9290834,142186
276,12-12-2020,India,9826775,359819,9324328,142628
277,13-12-2020,India,9857029,356546,9357464,143019
278,14-12-2020,India,9884100,352586,9388159,143355
279,15-12-2020,India,9906165,339820,9422636,143709
280,17-12-2020,India,9956557,322366,9489740,144451
281,18-12-2020,India,9979447,313831,9520827,144789
282,19-12-2020,India,10004599,308751,9550712,145136
283,20-12-2020,India,10031223,305344,9580402,145477
284,21-12-2020,India,10055560,303639,9606111,145810
285,22-12-2020,India,10075116,292518,9636487,146111
286,23-12-2020,India,10099066,289240,9663382,146444
287,24-12-2020,India,10123778,283849,9693173,146756
288,25-12-2020,India,10146845,281919,9717834,147092
289,26-12-2020,India,10169118,281667,9740108,147343
290,27-12-2020,India,10187850,278690,9761538,147622
291,28-12-2020,India,10207871,277301,9782669,147901
292,29-12-2020,India,10224303,268581,9807569,148153
293,30-12-2020,India,10244852,262272,9834141,148439
294,31-12-2020,India,10266674,257656,9860280,148738
295,03-01-2021,India,10323965,247220,9927310,149435
296,04-01-2021,India,10340469,243953,9946867,149649
297,05-01-2021,India,10356844,231036,9975958,149850
298,06-01-2021,India,10374932,227546,9997272,150114
299,07-01-2021,India,10395278,228083,10016859,150336
300,08-01-2021,India,10413417,225449,10037398,150570
301,09-01-2021,India,10431639,224190,10056651,150798
302,10-01-2021,India,10450284,223335,10075950,150999
303,11-01-2021,India,10466595,222526,10092909,151160
304,12-01-2021,India,10479179,216558,10111294,151327
305,13-01-2021,India,10495147,214507,10129111,151529
306,14-01-2021,India,10512093,213603,10146763,151727
307,15-01-2021,India,10527683,213027,10162738,151918
308,16-01-2021,India,10542841,211033,10179715,152093
309,17-01-2021,India,10557985,208826,10196885,152274
310,18-01-2021,India,10571773,208012,10211342,152419
311,19-01-2021,India,10581837,200528,10228753,152556
312,20-01-2021,India,10595660,197201,10245741,152718
313,21-01-2021,India,10610883,192308,10265706,152869
314,22-01-2021,India,10625428,188688,10283708,153032
315,23-01-2021,India,10639684,185662,10300838,153184
316,24-01-2021,India,10654533,184408,10316786,153339
317,25-01-2021,India,10667736,184182,10330084,153470
318,27-01-2021,India,10689527,176498,10359305,153724
319,28-01-2021,India,10701193,173740,10373606,153847
320,29-01-2021,India,10720048,171686,10394352,154010
321,30-01-2021,India,10733131,169824,10409160,154147
322,31-01-2021,India,10746183,168784,10423125,154274
323,01-02-2021,India,10757610,168235,10434983,154392
324,02-02-2021,India,10766245,163353,10448406,154486
325,03-02-2021,India,10777284,160057,10462631,154596
326,04-02-2021,India,10790183,155025,10480455,154703
327,05-02-2021,India,10802591,151460,10496308,154823
328,06-02-2021,India,10814304,148590,10510796,154918
329,07-02-2021,India,10826363,148766,10522601,154996
330,08-02-2021,India,10838194,148609,10534505,155080
331,09-02-2021,India,10847304,143625,10548521,155158
332,10-02-2021,India,10858371,141511,10561608,155252
333,11-02-2021,India,10871294,142562,10573372,155360
334,12-02-2021,India,10880603,135926,10589230,155447
335,13-02-2021,India,10892746,136571,10600625,155550
336,14-02-2021,India,10904940,137567,10611731,155642
337,15-02-2021,India,10916589,139637,10621220,155732
338,16-02-2021,India,10925710,136872,10633025,155813
339,17-02-2021,India,10937320,136549,10644858,155913
340,18-02-2021,India,10950201,137342,10656845,156014
341,19-02-2021,India,10963394,139542,10667741,156111
342,20-02-2021,India,10977387,143127,10678048,156212
343,21-02-2021,India,10991651,145634,10689715,156302
344,22-02-2021,India,11005850,150055,10699410,156385
345,23-02-2021,India,11016434,147306,10712665,156463
346,24-02-2021,India,11030176,146907,10726702,156567
347,25-02-2021,India,11046914,151708,10738501,156705
348,26-02-2021,India,11063491,155986,10750680,156825
349,27-02-2021,India,11079979,159590,10763451,156938
350,01-03-2021,India,11112241,168627,10786457,157157
351,02-03-2021,India,11124527,168358,10798921,157248
352,03-03-2021,India,11139516,170126,10812044,157346
353,04-03-2021,India,11156923,173413,10826075,157435
354,06-03-2021,India,11192088,180304,10854128,157656
355,07-03-2021,India,11210799,184523,10868520,157756
356,08-03-2021,India,11229398,188747,10882798,157853
357,09-03-2021,India,11244786,187462,10899394,157930
358,10-03-2021,India,11262707,184598,10920046,158063
359,11-03-2021,India,11285561,189226,10938146,158189
360,13-03-2021,India,11333728,202022,10973260,158446
361,14-03-2021,India,11359048,210544,10989897,158607
362,15-03-2021,India,11385339,219262,11007352,158725
363,16-03-2021,India,11409831,223432,11027543,158856
364,17-03-2021,India,11438734,234406,11045284,159044
365,18-03-2021,India,11474605,252364,11063025,159216
366,19-03-2021,India,11514331,271282,11083679,159370
367,20-03-2021,India,11555284,288394,11107332,159558
368,21-03-2021,India,11599130,309087,11130288,159755
369,22-03-2021,India,11646081,334646,11151468,159967
370,23-03-2021,India,11686796,345377,11181253,160166
371,24-03-2021,India,11734058,368457,11205160,160441
372,25-03-2021,India,11787534,395192,11231650,160692
373,27-03-2021,India,11908910,452647,11295023,161240
374,28-03-2021,India,11971624,486310,11323762,161552
375,29-03-2021,India,12039644,521808,11355993,161843
376,30-03-2021,India,12095855,540720,11393021,162114
377,31-03-2021,India,12149335,552566,11434301,162468
378,01-04-2021,India,12221665,584055,11474683,162927
379,02-04-2021,India,12303131,614696,11525039,163396
380,03-04-2021,India,12392260,658909,11569241,164110
381,04-04-2021,India,12485509,691597,11629289,164623
382,05-04-2021,India,12589067,741830,11682136,165101
383,06-04-2021,India,12686049,788223,11732279,165547
384,07-04-2021,India,12801785,843473,11792135,166177
385,08-04-2021,India,12928574,910319,11851393,166862
386,09-04-2021,India,13060542,979608,11913292,167642
387,10-04-2021,India,13205926,1046631,11990859,168436
388,11-04-2021,India,13358805,1108087,12081443,169275
389,12-04-2021,India,13527717,1201009,12156529,170179
390,13-04-2021,India,13689453,1264698,12253697,171058
391,14-04-2021,India,13873825,1365704,12336036,172085
392,15-04-2021,India,14074564,1471877,12429564,173123
393,16-04-2021,India,14291917,1569743,12547866,174308
394,17-04-2021,India,14526609,1679740,12671220,175649
395,18-04-2021,India,14788109,1801316,12809643,177150
396,19-04-2021,India,15061919,1929329,12953821,178769
397,20-04-2021,India,15321089,2031977,13108582,180530
398,21-04-2021,India,15616130,2157538,13276039,182553
399,22-04-2021,India,15930965,2291428,13454880,184657
400,23-04-2021,India,16263695,2428616,13648159,186920
401,24-04-2021,India,16610481,2552940,13867997,189544
402,25-04-2021,India,16960172,2682751,14085110,192311
403,26-04-2021,India,17313163,2813658,14304382,195123
404,27-04-2021,India,17636307,2882204,14556209,197894
405,28-04-2021,India,17997267,2978709,14817371,201187
406,29-04-2021,India,18376524,3084814,15086878,204832
407,30-04-2021,India,18762976,3170228,15384418,208330
408,01-05-2021,India,19164969,3268710,15684406,211853
409,02-05-2021,India,19557457,3349644,15992271,215542
410,03-05-2021,India,19925604,3413642,16293003,218959
411,04-05-2021,India,20282833,3447133,16613292,222408
412,05-05-2021,India,20665148,3487229,16951731,226188
413,06-05-2021,India,21077410,3566398,17280844,230168
414,07-05-2021,India,21491598,3645164,17612351,234083
415,08-05-2021,India,21892676,3723446,17930960,238270
416,09-05-2021,India,22296414,3736648,18317404,242362
417,10-05-2021,India,22662575,3745237,18671222,246116
418,11-05-2021,India,22992517,3715221,19027304,249992
419,12-05-2021,India,23340938,3704099,19382642,254197
420,13-05-2021,India,23703665,3710525,19734823,258317
421,14-05-2021,India,23703665,3710525,19734823,258317
422,15-05-2021,India,24046809,3704893,20079599,262317
423,16-05-2021,India,24684077,3618458,20795335,270284
424,17-05-2021,India,24965463,3516997,21174076,274390
425,18-05-2021,India,25228996,3353765,21596512,278719
426,19-05-2021,India,25496330,3226719,21986363,283248
427,20-05-2021,India,25772440,3129878,22355440,287122
428,21-05-2021,India,26031991,3027925,22712735,291331
429,22-05-2021,India,26289290,2923400,23070365,295525
430,23-05-2021,India,26530132,2805399,23425467,299266
431,24-05-2021,India,26752447,2720716,23728011,303720
432,25-05-2021,India,26948874,2586782,24054861,307231
433,26-05-2021,India,27157795,2495591,24350816,311388
434,27-05-2021,India,27369093,2419907,24633951,315235
435,28-05-2021,India,27555457,2343152,24893410,318895
436,30-05-2021,India,27894800,2114508,25454320,325972
437,31-05-2021,India,28047534,2026092,25692342,329100
438,01-06-2021,India,28175044,1895520,25947629,331895
439,02-06-2021,India,28307832,1793645,26179085,335102
440,03-06-2021,India,28441986,1713413,26390584,337989
441,04-06-2021,India,28574350,1635993,26597655,340702
442,05-06-2021,India,28694879,1555248,26795549,344082
443,06-06-2021,India,28809339,1477799,26984781,346759
444,07-06-2021,India,28909975,1401609,27159180,349186
445,08-06-2021,India,28996473,1303702,27341462,351309
446,09-06-2021,India,29089069,1231415,27504126,353528
447,10-06-2021,India,29183121,1167952,27655493,359676
448,11-06-2021,India,29274823,1121671,27790073,363079
449,27-03-2020,Andaman and Nicobar Islands,1,1,0,0
450,28-03-2020,Andaman and Nicobar Islands,6,6,0,0
451,29-03-2020,Andaman and Nicobar Islands,9,9,0,0
452,30-03-2020,Andaman and Nicobar Islands,9,9,0,0
453,31-03-2020,Andaman and Nicobar Islands,10,10,0,0
454,01-04-2020,Andaman and Nicobar Islands,10,10,0,0
455,02-04-2020,Andaman and Nicobar Islands,10,10,0,0
456,03-04-2020,Andaman and Nicobar Islands,10,10,0,0
457,04-04-2020,Andaman and Nicobar Islands,10,10,0,0
458,05-04-2020,Andaman and Nicobar Islands,10,10,0,0
459,06-04-2020,Andaman and Nicobar Islands,10,10,0,0
460,07-04-2020,Andaman and Nicobar Islands,10,10,0,0
461,08-04-2020,Andaman and Nicobar Islands,10,10,0,0
462,09-04-2020,Andaman and Nicobar Islands,11,11,0,0
463,10-04-2020,Andaman and Nicobar Islands,11,11,0,0
464,11-04-2020,Andaman and Nicobar Islands,11,11,0,0
465,12-04-2020,Andaman and Nicobar Islands,11,1,10,0
466,13-04-2020,Andaman and Nicobar Islands,11,1,10,0
467,14-04-2020,Andaman and Nicobar Islands,11,1,10,0
468,15-04-2020,Andaman and Nicobar Islands,11,1,10,0
469,16-04-2020,Andaman and Nicobar Islands,11,1,10,0
470,17-04-2020,Andaman and Nicobar Islands,11,1,10,0
471,18-04-2020,Andaman and Nicobar Islands,12,1,11,0
472,19-04-2020,Andaman and Nicobar Islands,14,3,11,0
473,20-04-2020,Andaman and Nicobar Islands,15,4,11,0
474,21-04-2020,Andaman and Nicobar Islands,16,5,11,0
475,22-04-2020,Andaman and Nicobar Islands,16,5,11,0
476,23-04-2020,Andaman and Nicobar Islands,18,7,11,0
477,24-04-2020,Andaman and Nicobar Islands,22,11,11,0
478,25-04-2020,Andaman and Nicobar Islands,27,16,11,0
479,26-04-2020,Andaman and Nicobar Islands,33,22,11,0
480,27-04-2020,Andaman and Nicobar Islands,33,22,11,0
481,28-04-2020,Andaman and Nicobar Islands,33,22,11,0
482,29-04-2020,Andaman and Nicobar Islands,33,18,15,0
483,30-04-2020,Andaman and Nicobar Islands,33,18,15,0
484,01-05-2020,Andaman and Nicobar Islands,33,17,16,0
485,02-05-2020,Andaman and Nicobar Islands,33,17,16,0
486,03-05-2020,Andaman and Nicobar Islands,33,17,16,0
487,04-05-2020,Andaman and Nicobar Islands,33,1,32,0
488,05-05-2020,Andaman and Nicobar Islands,33,1,32,0
489,06-05-2020,Andaman and Nicobar Islands,33,1,32,0
490,07-05-2020,Andaman and Nicobar Islands,33,1,32,0
491,08-05-2020,Andaman and Nicobar Islands,33,0,33,0
492,09-05-2020,Andaman and Nicobar Islands,33,0,33,0
493,10-05-2020,Andaman and Nicobar Islands,33,0,33,0
494,11-05-2020,Andaman and Nicobar Islands,33,0,33,0
495,12-05-2020,Andaman and Nicobar Islands,33,0,33,0
496,13-05-2020,Andaman and Nicobar Islands,33,0,33,0
497,14-05-2020,Andaman and Nicobar Islands,33,0,33,0
498,15-05-2020,Andaman and Nicobar Islands,33,0,33,0
499,16-05-2020,Andaman and Nicobar Islands,33,0,33,0
500,17-05-2020,Andaman and Nicobar Islands,33,0,33,0
501,18-05-2020,Andaman and Nicobar Islands,33,0,33,0
502,19-05-2020,Andaman and Nicobar Islands,33,0,33,0
503,20-05-2020,Andaman and Nicobar Islands,33,0,33,0
504,21-05-2020,Andaman and Nicobar Islands,33,0,33,0
505,22-05-2020,Andaman and Nicobar Islands,33,0,33,0
506,23-05-2020,Andaman and Nicobar Islands,33,0,33,0
507,24-05-2020,Andaman and Nicobar Islands,33,0,33,0
508,25-05-2020,Andaman and Nicobar Islands,33,0,33,0
509,26-05-2020,Andaman and Nicobar Islands,33,0,33,0
510,27-05-2020,Andaman and Nicobar Islands,33,0,33,0
511,28-05-2020,Andaman and Nicobar Islands,33,0,33,0
512,29-05-2020,Andaman and Nicobar Islands,33,0,33,0
513,30-05-2020,Andaman and Nicobar Islands,33,0,33,0
514,31-05-2020,Andaman and Nicobar Islands,33,0,33,0
515,01-06-2020,Andaman and Nicobar Islands,33,0,33,0
516,02-06-2020,Andaman and Nicobar Islands,33,0,33,0
517,03-06-2020,Andaman and Nicobar Islands,33,0,33,0
518,04-06-2020,Andaman and Nicobar Islands,33,0,33,0
519,05-06-2020,Andaman and Nicobar Islands,33,0,33,0
520,06-06-2020,Andaman and Nicobar Islands,33,0,33,0
521,07-06-2020,Andaman and Nicobar Islands,33,0,33,0
522,08-06-2020,Andaman and Nicobar Islands,33,0,33,0
523,09-06-2020,Andaman and Nicobar Islands,33,0,33,0
524,10-06-2020,Andaman and Nicobar Islands,33,0,33,0
525,11-06-2020,Andaman and Nicobar Islands,34,1,33,0
526,12-06-2020,Andaman and Nicobar Islands,38,5,33,0
527,13-06-2020,Andaman and Nicobar Islands,38,5,33,0
528,14-06-2020,Andaman and Nicobar Islands,38,5,33,0
529,15-06-2020,Andaman and Nicobar Islands,38,5,33,0
530,16-06-2020,Andaman and Nicobar Islands,41,8,33,0
531,17-06-2020,Andaman and Nicobar Islands,44,11,33,0
532,18-06-2020,Andaman and Nicobar Islands,44,11,33,0
533,19-06-2020,Andaman and Nicobar Islands,44,11,33,0
534,20-06-2020,Andaman and Nicobar Islands,45,10,35,0
535,21-06-2020,Andaman and Nicobar Islands,47,11,36,0
536,22-06-2020,Andaman and Nicobar Islands,48,11,37,0
537,23-06-2020,Andaman and Nicobar Islands,48,11,37,0
538,24-06-2020,Andaman and Nicobar Islands,50,10,40,0
539,25-06-2020,Andaman and Nicobar Islands,56,13,43,0
540,26-06-2020,Andaman and Nicobar Islands,59,16,43,0
541,27-06-2020,Andaman and Nicobar Islands,72,29,43,0
542,28-06-2020,Andaman and Nicobar Islands,72,29,43,0
543,29-06-2020,Andaman and Nicobar Islands,76,31,45,0
544,30-06-2020,Andaman and Nicobar Islands,90,44,46,0
545,01-07-2020,Andaman and Nicobar Islands,97,47,50,0
546,02-07-2020,Andaman and Nicobar Islands,100,50,50,0
547,03-07-2020,Andaman and Nicobar Islands,109,58,51,0
