Date,Cured/Discharged
06-12-2020,9100792
07-12-2020,9139901
08-12-2020,9178946
09-12-2020,9215581
10-12-2020,9253306
11-12-2020,9290834
12-12-2020,9324328
13-12-2020,9357464
14-12-2020,9388159
15-12-2020,9422636
17-12-2020,9489740
18-12-2020,9520827
19-12-2020,9550712
20-12-2020,9580402
21-12-2020,9606111
22-12-2020,9636487
23-12-2020,9663382
24-12-2020,9693173
25-12-2020,9717834
26-12-2020,9740108
27-12-2020,9761538
28-12-2020,9782669
29-12-2020,9807569
30-12-2020,9834141
31-12-2020,9860280
03-01-2021,9927310
04-01-2021,9946867
05-01-2021,9975958
06-01-2021,9997272
07-01-2021,10016859
08-01-2021,10037398
09-01-2021,10056651
10-01-2021,10075950
11-01-2021,10092909
12-01-2021,10111294
13-01-2021,10129111
14-01-2021,10146763
15-01-2021,10162738
16-01-2021,10179715
17-01-2021,10196885
18-01-2021,10211342
19-01-2021,10228753
20-01-2021,10245741
21-01-2021,10265706
22-01-2021,10283708
23-01-2021,10300838
24-01-2021,10316786
25-01-2021,10330084
27-01-2021,10359305
28-01-2021,10373606
29-01-2021,10394352
30-01-2021,10409160
31-01-2021,10423125
01-02-2021,10434983
02-02-2021,10448406
03-02-2021,10462631
04-02-2021,10480455
05-02-2021,10496308
06-02-2021,10510796
07-02-2021,10522601
08-02-2021,10534505
09-02-2021,10548521
10-02-2021,10561608
11-02-2021,10573372
12-02-2021,10589230
13-02-2021,10600625
14-02-2021,10611731
15-02-2021,10621220
16-02-2021,10633025
17-02-2021,10644858
18-02-2021,10656845
19-02-2021,10667741
20-02-2021,10678048
21-02-2021,10689715
22-02-2021,10699410
23-02-2021,10712665
24-02-2021,10726702
25-02-2021,10738501
26-02-2021,10750680
27-02-2021,10763451
01-03-2021,10786457
02-03-2021,10798921
03-03-2021,10812044
04-03-2021,10826075
06-03-2021,10854128
07-03-2021,10868520
08-03-2021,10882798
09-03-2021,10899394
10-03-2021,10920046
11-03-2021,10938146
13-03-2021,10973260
14-03-2021,10989897
15-03-2021,11007352
16-03-2021,11027543
17-03-2021,11045284
18-03-2021,11063025
19-03-2021,11083679
20-03-2021,11107332
21-03-2021,11130288
22-03-2021,11151468
23-03-2021,11181253
24-03-2021,11205160
25-03-2021,11231650
27-03-2021,11295023
28-03-2021,11323762
29-03-2021,11355993
30-03-2021,11393021
31-03-2021,11434301
01-04-2021,11474683
02-04-2021,11525039
03-04-2021,11569241
04-04-2021,11629289
05-04-2021,11682136
06-04-2021,11732279
07-04-2021,11792135
08-04-2021,11851393
09-04-2021,11913292
10-04-2021,11990859
11-04-2021,12081443
12-04-2021,12156529
13-04-2021,12253697
14-04-2021,12336036
15-04-2021,12429564
16-04-2021,12547866
17-04-2021,12671220
18-04-2021,12809643
19-04-2021,12953821
20-04-2021,13108582
21-04-2021,13276039
22-04-2021,13454880
23-04-2021,13648159
24-04-2021,13867997
25-04-2021,14085110
26-04-2021,14304382
27-04-2021,14556209
28-04-2021,14817371
29-04-2021,15086878
30-04-2021,15384418
01-05-2021,15684406
02-05-2021,15992271
03-05-2021,16293003
04-05-2021,16613292
05-05-2021,16951731
06-05-2021,17280844
07-05-2021,17612351
08-05-2021,17930960
09-05-2021,18317404
10-05-2021,18671222
11-05-2021,19027304
12-05-2021,19382642
13-05-2021,19734823
14-05-2021,19734823
15-05-2021,20079599
16-05-2021,20795335
17-05-2021,21174076
18-05-2021,21596512
19-05-2021,21986363
20-05-2021,22355440
21-05-2021,22712735
22-05-2021,23070365
23-05-2021,23425467
24-05-2021,23728011
25-05-2021,24054861
26-05-2021,24350816
27-05-2021,24633951
28-05-2021,24893410
30-05-2021,25454320
31-05-2021,25692342
01-06-2021,25947629
02-06-2021,26179085
03-06-2021,26390584
04-06-2021,26597655
05-06-2021,26795549
06-06-2021,26984781
07-06-2021,27159180
08-06-2021,27341462
09-06-2021,27504126
10-06-2021,27655493
11-06-2021,27790073
27-03-2020,0
28-03-2020,0
29-03-2020,0
30-03-2020,0
31-03-2020,0
01-04-2020,0
02-04-2020,0
03-04-2020,0
04-04-2020,0
05-04-2020,0
06-04-2020,0
07-04-2020,0
08-04-2020,0
09-04-2020,0
10-04-2020,0
11-04-2020,0
12-04-2020,10
13-04-2020,10
14-04-2020,10
15-04-2020,10
16-04-2020,10
17-04-2020,10
18-04-2020,11
19-04-2020,11
20-04-2020,11
21-04-2020,11
22-04-2020,11
23-04-2020,11
24-04-2020,11
25-04-2020,11
26-04-2020,11
27-04-2020,11
28-04-2020,11
29-04-2020,15
30-04-2020,15
01-05-2020,16
02-05-2020,16
03-05-2020,16
04-05-2020,32
05-05-2020,32
06-05-2020,32
07-05-2020,32
08-05-2020,33
09-05-2020,33
10-05-2020,33
11-05-2020,33
12-05-2020,33
13-05-2020,33
14-05-2020,33
15-05-2020,33
16-05-2020,33
17-05-2020,33
18-05-2020,33
19-05-2020,33
20-05-2020,33
21-05-2020,33
22-05-2020,33
23-05-2020,33
24-05-2020,33
25-05-2020,33
26-05-2020,33
27-05-2020,33
28-05-2020,33
29-05-2020,33
30-05-2020,33
31-05-2020,33
01-06-2020,33
02-06-2020,33
03-06-2020,33
04-06-2020,33
05-06-2020,33
06-06-2020,33
07-06-2020,33
08-06-2020,33
09-06-2020,33
10-06-2020,33
11-06-2020,33
12-06-2020,33
13-06-2020,33
14-06-2020,33
15-06-2020,33
16-06-2020,33
17-06-2020,33
18-06-2020,33
19-06-2020,33
20-06-2020,35
21-06-2020,36
22-06-2020,37
23-06-2020,37
24-06-2020,40
25-06-2020,43
26-06-2020,43
27-06-2020,43
28-06-2020,43
29-06-2020,45
30-06-2020,46
01-07-2020,50
02-07-2020,50
03-07-2020,51
04-07-2020,54
05-07-2020,66
06-07-2020,72
07-07-2020,74
08-07-2020,75
09-07-2020,77
10-07-2020,83
11-07-2020,92
12-07-2020,93
13-07-2020,93
14-07-2020,109
15-07-2020,109
16-07-2020,130
17-07-2020,133
18-07-2020,142
19-07-2020,145
20-07-2020,145
21-07-2020,152
22-07-2020,159
23-07-2020,163
24-07-2020,170
25-07-2020,174
26-07-2020,176
27-07-2020,182
28-07-2020,192
29-07-2020,196
30-07-2020,201
31-07-2020,201
01-08-2020,214
02-08-2020,226
03-08-2020,242
04-08-2020,263
05-08-2020,277
06-08-2020,326
07-08-2020,355
08-08-2020,425
09-08-2020,500
10-08-2020,648
11-08-2020,709
12-08-2020,749
13-08-2020,829
14-08-2020,924
15-08-2020,1032
16-08-2020,1128
17-08-2020,1226
18-08-2020,1325
19-08-2020,1421
20-08-2020,1529
21-08-2020,1638
22-08-2020,1744
23-08-2020,1853
24-08-2020,1963
25-08-2020,2092
26-08-2020,2231
27-08-2020,2309
28-08-2020,2374
29-08-2020,2444
30-08-2020,2519
31-08-2020,2586
01-09-2020,2647
02-09-2020,2714
03-09-2020,2758
04-09-2020,2823
05-09-2020,2863
06-09-2020,2904
07-09-2020,2951
08-09-2020,2997
09-09-2020,3035
10-09-2020,3078
11-09-2020,3121
12-09-2020,3157
13-09-2020,3202
14-09-2020,3243
15-09-2020,3278
16-09-2020,3318
17-09-2020,3345
18-09-2020,3378
19-09-2020,3414
20-09-2020,3436
21-09-2020,3452
22-09-2020,3469
23-09-2020,3479
24-09-2020,3494
25-09-2020,3503
26-09-2020,3528
27-09-2020,3551
28-09-2020,3553
29-09-2020,3582
30-09-2020,3587
01-10-2020,3608
02-10-2020,3623
03-10-2020,3631
04-10-2020,3642
05-10-2020,3649
06-10-2020,3659
07-10-2020,3678
08-10-2020,3696
09-10-2020,3707
10-10-2020,3724
11-10-2020,3744
12-10-2020,3764
13-10-2020,3770
14-10-2020,3782
15-10-2020,3796
16-10-2020,3817
17-10-2020,3831
18-10-2020,3848
19-10-2020,3868
20-10-2020,3892
21-10-2020,3902
22-10-2020,3913
23-10-2020,3937
24-10-2020,3945
25-10-2020,3968
26-10-2020,3983
27-10-2020,3997
28-10-2020,4019
29-10-2020,4039
30-10-2020,4054
31-10-2020,4076
01-11-2020,4100
02-11-2020,4112
03-11-2020,4132
04-11-2020,4153
05-11-2020,4163
06-11-2020,4175
07-11-2020,4194
08-11-2020,4206
09-11-2020,4221
10-11-2020,4239
11-11-2020,4255
12-11-2020,4267
13-11-2020,4282
14-11-2020,4304
15-11-2020,4315
16-11-2020,4330
17-11-2020,4346
18-11-2020,4363
19-11-2020,4378
20-11-2020,4398
21-11-2020,4408
22-11-2020,4428
23-11-2020,4440
24-11-2020,4453
25-11-2020,4464
26-11-2020,4479
27-11-2020,4491
28-11-2020,4508
29-11-2020,4518
30-11-2020,4537
01-12-2020,4550
02-12-2020,4566
03-12-2020,4583
04-12-2020,4597
05-12-2020,4611
06-12-2020,4616
07-12-2020,4624
08-12-2020,4631
09-12-2020,4647
10-12-2020,4647
11-12-2020,4652
12-12-2020,4659
13-12-2020,4665
14-12-2020,4673
15-12-2020,4681
17-12-2020,4698
18-12-2020,4707
